id,email,name,password,role,suspended,user_image
f753fa62-572e-4be7-97a8-179e80238dfa,arjun@example.com,Arjun,$2a$10$wBCXnRcdpOH85So7ce2Aa.Ybqv3axX6JRQ706j5YfnkStlFU2Is0y,PLAYER,false,avatars/m_avatar1.png
38f30b71-47d6-4572-9a04-0299452f514e,admin@playscout.com,Admin,$2a$10$bEJEoSkwQ8vXCHY32egntetyRICQd0SnWS5.EA74cSLb4n9eBx3O.,ADMIN,false,avatars/m_avatar1.png
18bb0b77-4858-4f20-97d8-fa6af4d8b57b,arjun@playscout.com,Arjun,$2a$10$CTLR4vAJq0lolUBiviGKBeJkygORcgMoMjqPimJWR1cAdupgEVgtG,FACILITY_MANAGER,false,avatars/m_avatar3.png
40f2c3be-774c-4b71-8350-a69630822708,anirudh@test.com,Anirudh H,$2a$10$5mzihbbyFkRLRRDfoEef8uCQtf.181iu95Hzhc6dW8yrsYoQKD4L.,PLAYER,false,avatars/m_avatar4.png
0bc18452-131d-44a8-b7e7-f0561ce6f0e2,navjyoth@test.com,Navjyoth,$2a$10$dbZgsZxEMmGitg7enbRvS.oaxRz9rIHrmCO0TwXxbSoqDFN8Mvk8m,PLAYER,false,avatars/m_avatar4.png
07a5e0df-7903-4ff6-aa16-e69509280ea8,prakruti@test.com,Prakruti P,$2a$10$blARitzfVZFy0wzvF6J.JeSj5N.32nRqtwXA5ryT5aye.xd1gXs1y,PLAYER,false,avatars/f_avatar1.png
754f4364-315e-4ac8-bde0-6f04e3c37b20,ananya@test.com,Ananya V,$2a$10$MnxCrQ8qtpQ6iPUnG3Baquh55rHGDU8.qcu9XGoCrnR1r/c0aRtnG,FACILITY_MANAGER,false,avatars/f_avatar3.png
5c1236f6-f058-4e5a-ae03-4f3c8d9ed40c,nishant@test.com,Nishant Hegde,$2a$10$leLECIqfI14oKYNifw8FXOis5p6/c75GJD6Z9CvzGKGFS8jBXw7rS,PLAYER,false,avatars/m_avatar5.png
d029a0bf-8a2b-4bf7-b0ee-5ba1fbde4ae2,mallikarjun@test.com,Mallikarjun,$2a$10$/V5GUaXXHsUWHuhzXYa01.tdqxL/d5RT6b3qZOyZzAl41eSqYjrMK,PLAYER,false,avatars/m_avatar2.png
f9b117ba-e046-49e6-8aba-18ec238dea22,harish@test.com,Harish A,$2a$10$.WrDE8ahSb5TAExAc4Rt.ehaCAj/10YToBGN6rTFOQZYhh0aU4qnu,PLAYER,false,avatars/m_avatar5.png
893c6a02-338f-4e2d-9690-5106da041f30,varun@test.com,Varun T,$2a$10$ZnCTIswzvAPDl5z0FC117.Wu4Ilgqmq.PCpCXogcngm.kbSKWii.m,FACILITY_MANAGER,false,avatars/m_avatar4.png
7a9969dd-9db7-43ba-9484-7a5a32a441ab,deepika@test.com,Deepika K,$2a$10$4XfGBnMK/iqosS6seba2SueJ2Jdtj9l1gM4pp.qEcDWRlaOGlhjkO,PLAYER,false,avatars/f_avatar4.png
7639033b-1486-402d-93cd-63ab31aacc0e,nikhil@test.com,Nikhil R,$2a$10$yij/Q.wkS3eEV1Nr/C4/6OccngKoZHZIYwKzX/Tw481DgPwSwlJou,PLAYER,false,avatars/m_avatar3.png
40df3b86-80ab-4868-8f47-1998ee8ceea5,pavan@test.com,Pavan K,$2a$10$siwE4O6DCNTJMZfNHIlvkOdnc.1mZ0rpx5DuxgUXM15WYaEJDdZvC,PLAYER,false,avatars/m_avatar3.png
4ba15bdf-d902-4711-be96-fbbdc6e18488,manoj@test.com,Manoj N,$2a$10$Ig8bTevEJuYK8cJVJ86PQ./MYXEs.DNZQa9zIamnmPi71QQKbtEWm,PLAYER,false,avatars/m_avatar2.png
